model_used,method_tested,data_size,accuracy,time_tested
my_llama_model,Misleading_pair,100,0.6100,2025-10-19 21:05:54
my_llama_model,Misleading_pair,100,0.6000,2025-10-19 21:07:22
my_llama_model,Misleading_pair,100,0.6700,2025-10-19 21:08:26
my_llama_model,Misleading_pair,100,0.6700,2025-10-19 21:09:31
my_llama_model,Misleading_pair,100,0.6500,2025-10-19 21:10:39
my_llama_model,Misleading_pair,100,0.6000,2025-10-19 21:11:43
my_llama_model,Misleading_pair,100,0.5600,2025-10-19 21:12:48
my_llama_model,Misleading_pair,100,0.6000,2025-10-19 21:13:56
my_llama_model,Misleading_pair,100,0.6300,2025-10-19 21:15:00
